family,system,seed,AI2D,MMBench,MMMU,MMStar,OCRBench,RealWorldQA,macro_average,provenance,result_json
Qwen3-VL-2B,Base,,75.64766839378238,76.20274914089347,42.333,53.753921688999284,80.7,65.22875816993464,65.64434956560163,canonical paper completion,/data/Minko/experiments/reskip_paper_vlm_completion_20260824/full6/base/models__Qwen3-VL-2B-Instruct/20260824_165253_results.json
Qwen3-VL-2B,Full AttnRes,0,76.5220207253886,78.95189003436425,45.111000000000004,54.923453945183766,83.8,64.83660130718954,67.35749433535436,canonical paper completion,/data/Minko/experiments/reskip_paper_vlm_completion_20260824/full6/fullar/models__Qwen3-VL-2B-Instruct/20260824_160303_results.json
Qwen3-VL-2B,Full AttnRes,1,76.58678756476684,77.66323024054984,45.444,55.07338539975497,84.3,64.9673202614379,67.33912057775159,current matched-seed control,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/eval/controls/qwen3vl_2b_full_attnres_seed1/models__Qwen3-VL-2B-Instruct/20260831_231705_results.json
Qwen3-VL-2B,Full AttnRes,2,75.58290155440415,77.23367697594502,44.444,53.1941925953904,84.7,64.83660130718954,66.66522873882151,current matched-seed control,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/eval/controls/qwen3vl_2b_full_attnres_seed2/models__Qwen3-VL-2B-Instruct/20260831_232919_results.json
Qwen3-VL-2B,Full RSM-AttnRes,0,76.91062176165802,78.00687285223368,46.111000000000004,56.65688707026345,83.6,66.53594771241829,67.97022156609557,canonical accepted RSM seed 0,/data/Minko/experiments/attnres_residual_strength_gate_2b_20260831/full6/candidate/models__Qwen3-VL-2B-Instruct/20260831_171603_results.json
Qwen3-VL-2B,Full RSM-AttnRes,1,76.97538860103627,77.83505154639175,45.889,55.99013195386304,84.2,66.27450980392156,67.86068031753544,current formal run,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/eval/full_rsm/qwen3vl_2b_rsm_seed1/models__Qwen3-VL-2B-Instruct/20260831_220711_results.json
Qwen3-VL-2B,Full RSM-AttnRes,2,76.32772020725389,77.40549828178695,44.333,54.67063085728674,84.2,65.7516339869281,67.11474722220929,current formal run,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/eval/full_rsm/qwen3vl_2b_rsm_seed2/models__Qwen3-VL-2B-Instruct/20260831_220709_results.json
Qwen3-VL-2B,RSM-ReSkip,0,76.91062176165802,78.69415807560138,45.889,56.04890617698914,82.19999999999999,66.53594771241829,67.71310562111114,canonical device-policy quality run,/data/Minko/experiments/attnres_residual_strength_gate_2b_20260831/full6/reskip_conservative/models__Qwen3-VL-2B-Instruct/20260831_184523_results.json
Qwen3-VL-4B,Base,,81.80051813471503,83.33333333333334,50.444,61.78954968853164,82.6,71.63398692810458,71.93356468078076,current matched control,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/eval/controls/qwen3vl_4b_base/models__Qwen3-VL-4B-Instruct/20260831_225729_results.json
Qwen3-VL-4B,Full AttnRes,0,81.21761658031087,84.70790378006873,52.222,60.831897639519006,84.3,71.50326797385621,72.46378099562581,preserved exact-protocol AttnRes control,/data/Minko/experiments/_archive/reskip_precanonical_20260824/paper_vlm_exact_repro_20260819/accuracy/4b_full_ar/models__Qwen3-VL-4B-Instruct/20260819_144631_results.json
